iter	Passed	Remaining
940	127222	75576
941	127378	75453
942	127534	75330
943	127686	75205
944	127838	75079
945	127991	74954
946	128138	74826
947	128282	74695
948	128427	74566
949	128578	74440
950	128717	74306
951	128851	74170
952	128981	74032
953	129111	73893
954	129242	73755
955	129380	73622
956	129515	73487
957	129649	73350
958	129786	73216
959	129919	73079
960	130054	72944
961	130185	72806
962	130334	72678
963	130478	72548
964	130609	72410
965	130742	72273
966	130871	72135
967	131004	71998
968	131135	71860
969	131271	71725
970	131403	71588
971	131533	71450
972	131664	71312
973	131800	71177
974	131936	71042
975	132069	70906
976	132199	70767
977	132332	70631
978	132462	70493
979	132595	70356
980	132729	70221
981	132863	70084
982	132995	69947
983	133129	69811
984	133260	69674
985	133399	69540
986	133535	69405
987	133666	69268
988	133804	69134
989	133944	69001
990	134076	68864
991	134207	68727
992	134339	68590
993	134474	68454
994	134603	68316
995	134735	68179
996	134868	68043
997	135002	67906
998	135136	67771
999	135271	67635
1000	135403	67498
1001	135559	67374
1002	135694	67238
1003	135822	67099
1004	135957	66964
1005	136096	66830
1006	136229	66694
1007	136364	66558
1008	136496	66421
1009	136627	66284
1010	136759	66147
1011	136892	66011
1012	137025	65875
1013	137164	65741
1014	137298	65605
1015	137431	65469
1016	137565	65333
1017	137697	65196
1018	137827	65058
1019	137961	64923
1020	138097	64787
1021	138231	64652
1022	138371	64519
1023	138519	64390
1024	138675	64264
1025	138828	64137
1026	138981	64010
1027	139138	63884
1028	139296	63759
1029	139439	63627
1030	139584	63496
1031	139732	63366
1032	139879	63237
1033	140024	63105
1034	140166	62973
1035	140313	62843
1036	140466	62715
1037	140616	62586
1038	140769	62458
1039	140912	62326
1040	141056	62194
1041	141207	62066
1042	141344	61931
1043	141481	61796
1044	141616	61660
1045	141756	61527
1046	141895	61393
1047	142028	61256
1048	142164	61121
1049	142314	60991
1050	142459	60860
1051	142601	60727
1052	142748	60596
1053	142884	60461
1054	143032	60331
1055	143178	60200
1056	143334	60072
1057	143478	59941
1058	143617	59806
1059	143760	59674
1060	143903	59541
1061	144046	59409
1062	144190	59276
1063	144328	59141
1064	144472	59009
1065	144617	58877
1066	144766	58747
1067	144921	58619
1068	145067	58488
1069	145210	58355
1070	145353	58222
1071	145502	58092
1072	145652	57962
1073	145799	57830
1074	145956	57703
1075	146103	57572
1076	146246	57439
1077	146391	57307
1078	146537	57175
1079	146691	57046
1080	146843	56917
1081	146981	56782
1082	147133	56652
1083	147282	56521
1084	147423	56387
1085	147567	56254
1086	147713	56123
1087	147858	55990
1088	148002	55857
1089	148146	55724
1090	148292	55592
1091	148436	55459
1092	148578	55326
1093	148732	55197
1094	148877	55064
1095	149016	54929
1096	149156	54794
1097	149303	54662
1098	149444	54528
1099	149585	54394
1100	149728	54261
1101	149864	54125
1102	150012	53993
1103	150160	53861
1104	150311	53731
1105	150448	53595
1106	150590	53461
1107	150733	53328
1108	150884	53197
1109	151033	53065
1110	151183	52934
1111	151317	52797
1112	151453	52661
1113	151590	52526
1114	151726	52390
1115	151866	52255
1116	152004	52119
1117	152140	51983
1118	152277	51847
1119	152416	51712
1120	152550	51575
1121	152685	51439
1122	152823	51303
1123	152964	51169
1124	153102	51034
1125	153239	50898
1126	153375	50762
1127	153515	50627
1128	153655	50492
1129	153790	50356
1130	153925	50219
1131	154064	50084
1132	154199	49948
1133	154335	49812
1134	154468	49674
1135	154604	49538
1136	154742	49403
1137	154877	49266
1138	155013	49130
1139	155149	48994
1140	155287	48859
1141	155418	48721
1142	155550	48583
1143	155688	48448
1144	155834	48315
